corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
rbi,188MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/188MD.PDF,2026-06-11T09:10:37.161892,438.2
rbi,187MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/187MD.PDF,2026-06-11T09:10:40.261174,880.7
rbi,186MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/186MD.PDF,2026-06-11T09:10:42.806349,419.8
rbi,185MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/185MD.PDF,2026-06-11T09:10:45.838195,953.9
rbi,184MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/184MD.PDF,2026-06-11T09:10:48.524830,343.5
rbi,183MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/183MD.PDF,2026-06-11T09:10:51.048718,277.3
rbi,182MD.PDF,notification,2069,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/182MD.PDF,2026-06-11T09:11:09.003140,2069.9
rbi,181MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/181MD.PDF,2026-06-11T09:11:12.809358,494.0
rbi,180MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/180MD.PDF,2026-06-11T09:11:19.165001,636.1
rbi,179MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/179MD.PDF,2026-06-11T09:11:21.585174,292.0
rbi,381MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/381MD.PDF,2026-06-11T09:11:23.911756,224.3
rbi,178MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/178MD.PDF,2026-06-11T09:11:26.674172,459.2
rbi,177MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/177MD.PDF,2026-06-11T09:11:29.202220,292.1
rbi,176MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/176MD.PDF,2026-06-11T09:11:31.876400,380.4
rbi,175MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/175MD.PDF,2026-06-11T09:11:34.827307,661.0
rbi,388MD10032026C9C28BA2FD904454A24EE40607D82CC7.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/388MD10032026C9C28BA2FD904454A24EE40607D82CC7.PDF,2026-06-11T09:11:40.030804,404.7
rbi,221MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/221MD.PDF,2026-06-11T09:11:43.408094,1429.8
rbi,220MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/220MD.PDF,2026-06-11T09:11:45.979496,321.9
rbi,219MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/219MD.PDF,2026-06-11T09:11:48.957676,763.9
rbi,218MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/218MD.PDF,2026-06-11T09:11:51.785842,714.7
rbi,216MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/216MD.PDF,2026-06-11T09:11:54.665890,838.3
rbi,215MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/215MD.PDF,2026-06-11T09:11:57.860335,1070.1
rbi,214MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/214MD.PDF,2026-06-11T09:12:00.681036,778.8
rbi,213MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/213MD.PDF,2026-06-11T09:12:03.130797,291.0
rbi,212MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/212MD.PDF,2026-06-11T09:12:05.518207,273.5
rbi,211MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/211MD.PDF,2026-06-11T09:12:09.233554,949.9
rbi,210MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/210MD.PDF,2026-06-11T09:12:11.870187,564.0
rbi,209MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/209MD.PDF,2026-06-11T09:12:14.570186,585.8
rbi,208MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/208MD.PDF,2026-06-11T09:12:16.893641,236.5
rbi,382MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/382MD.PDF,2026-06-11T09:12:19.216138,219.5
rbi,207MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/207MD.PDF,2026-06-11T09:12:22.203585,596.0
rbi,206MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/206MD.PDF,2026-06-11T09:12:24.600502,292.2
rbi,205MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/205MD.PDF,2026-06-11T09:12:27.156700,402.5
rbi,389MD100320260CC22242233B4A46883801B79C02FE8B.PDF,notification,2026,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/389MD100320260CC22242233B4A46883801B79C02FE8B.PDF,2026-06-11T09:12:29.636778,413.2
rbi,246MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/246MD.PDF,2026-06-11T09:12:33.012331,1388.5
rbi,245MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/245MD.PDF,2026-06-11T09:12:35.463068,337.3
rbi,244MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/244MD.PDF,2026-06-11T09:12:38.409184,782.9
rbi,243MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/243MD.PDF,2026-06-11T09:12:41.177419,682.7
rbi,241MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/241MD.PDF,2026-06-11T09:12:44.081935,736.9
rbi,240MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/240MD.PDF,2026-06-11T09:12:46.720124,465.7
rbi,239MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/239MD.PDF,2026-06-11T09:12:49.350924,338.4
rbi,238MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/238MD.PDF,2026-06-11T09:12:51.894538,429.9
rbi,237MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/237MD.PDF,2026-06-11T09:12:54.568428,484.2
rbi,236MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/236MD.PDF,2026-06-11T09:12:57.572937,843.8
rbi,235MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/235MD.PDF,2026-06-11T09:13:00.111211,327.0
rbi,234MD.PDF,notification,unknown,RBI Document,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/234MD.PDF,2026-06-11T09:13:03.074769,362.8
