corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
sebi,7._20AMFI_20email_2035P_2070_20dt._2025-Nov-21.pdf,dated,2026-06-12,"SEBI circular dated October 27, 2021 on Guiding Principles for bringing uniformity in Benchmarks of Mutual Fund Schemes - list of benchmark indices intended to used by AMCs as 1st ",https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/7.%20AMFI%20email%2035P%2070%20dt.%2025-Nov-21.pdf,2026-06-12T00:31:31.487908,89.4
sebi,CU123-AMFI_20BP_20Cir_2093_20dt._2024-Jul-21-Prudential_20norms_20for_20liquidity_20risk_20management_20for_20Open_20End,rms,2026-06-12,Prudential norms for Liquidity Risk Management for Open-ended Debt Schemes,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU123-AMFI%20BP%20Cir%2093%20dt.%2024-Jul-21-Prudential%20norms%20for%20liquidity%20risk%20management%20for%20Open%20Ended%20Funds.pdf,2026-06-12T00:31:31.488905,248.4
sebi,CU119-AMFI_20BP_20Cir_2091_20dt._2024-Mar-2021_20-_20Valuation_20of_20Bonds_20issued_20under_20Basel_20III_20framework.p,unknown,2026-06-12,Valuation of AT-1 Bonds and Tier 2 Bonds,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU119-AMFI%20BP%20Cir%2091%20dt.%2024-Mar-2021%20-%20Valuation%20of%20Bonds%20issued%20under%20Basel%20III%20framework.pdf,2026-06-12T00:31:31.489907,197.1
sebi,CU122-AMFI_20BP_20cir_20no._2085_20-_2026-Jun-20_20-_20Updated_20Guidelines_20on_20Transmission_20of_20Units_20and_20std,unknown,2026-06-12,Updated Guidelines on Transmission of Units and standard formats of Transmission Request Forms supporting documents to be uniformly adopted by all AMCs,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU122-AMFI%20BP%20cir%20no.%2085%20-%2026-Jun-20%20-%20Updated%20Guidelines%20on%20Transmission%20of%20Units%20and%20std.formats.pdf,2026-06-12T00:31:31.490979,345.3
sebi,3._20AMFI_s_20email_20dt._2024-Dec-19-IST_20Valuations_20-_20TAT_20and_20Go_20Live_20Date.pdf,unknown,2026-06-12,IST Valuations - TAT & Go Live Date,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/3.%20AMFI's%20email%20dt.%2024-Dec-19-IST%20Valuations%20-%20TAT%20and%20Go%20Live%20Date.pdf,2026-06-12T00:31:31.492383,129.5
sebi,CU107-AMFI_20BP_20cir._2083_20dt._2018-Nov-19-_20Various_20guidelines_20pursuant_20to_20SEBI_20cir_20dt_2024-09-19.pdf,unknown,2024-09-19,Various guidelines on 1) Valuation of Money Market & Debt Securities 2) Polling process for Money Market and debt securities 3) Valuation of upfront fee on trades 4) Investment by ,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU107-AMFI%20BP%20cir.%2083%20dt.%2018-Nov-19-%20Various%20guidelines%20pursuant%20to%20SEBI%20cir%20dt%2024-09-19.pdf,2026-06-12T00:31:31.493389,693.1
sebi,1._20AMFI_s_20email_20dt._2015-Oct-2019-Liquid_20Fund_20Exit_20Load.pdf,SEBI/HO/IMD/DF2/0W/P/2019/271771/1,2026-06-12,"Liquid Fund Exit Load SEBI Letter No. SEBI/HO/IMD/DF2/0W/P/2019/271771/1 dated October 15, 2019",https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/1.%20AMFI's%20email%20dt.%2015-Oct-2019-Liquid%20Fund%20Exit%20Load.pdf,2026-06-12T00:31:31.494377,90.4
sebi,1a._20SEBI_s_20Letter_20to_20AMFI_20dt._2015-Oct-2019.pdf,unknown,2026-06-12,Attachment : 1a. SEBI's Letter to AMFI dt. 15-Oct-2019.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/1a.%20SEBI's%20Letter%20to%20AMFI%20dt.%2015-Oct-2019.pdf,2026-06-12T00:31:31.495793,42.6
sebi,CU149-AMFI_20BP_20cir_20110_20dt._2031-Jan-24.pdf,unknown,2026-06-12,Updated Guidelines on Transmission of Units,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-AMFI%20BP%20cir%20110%20dt.%2031-Jan-24.pdf,2026-06-12T00:59:45.530433,507.8
sebi,CU149-Ch1Attachment_201_20to_20AMFI_20BP_20cir_20110_20dt._2031-Jan-24-SEBILetter.pdf,unknown,2026-06-12,Attachment 1 to AMFI BP cir 110 dt. 31-Jan-24-SEBILetter.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU149-Ch1Attachment%201%20to%20AMFI%20BP%20cir%20110%20dt.%2031-Jan-24-SEBILetter.pdf,2026-06-12T00:59:45.530433,96.5
